sample,horizon_weeks,phase,industry,observations,sufficient,mean,median,sd,p10,p90,share_positive
revised_overlap,4,slowdown,BusEq,349,True,0.004598,0.003408,0.021295,-0.020279,0.032469,0.5845
revised_overlap,4,slowdown,Telcm,349,True,-0.006654,-0.004777,0.033127,-0.047949,0.0308,0.4327
revised_overlap,4,slowdown,Utils,349,True,0.000115,0.000664,0.041362,-0.04869,0.050536,0.5072
revised_overlap,4,slowdown,Shops,349,True,0.000812,0.00057,0.018459,-0.02147,0.023622,0.5129
revised_overlap,4,slowdown,Hlth,349,True,-0.003874,-0.003489,0.032239,-0.04368,0.03611,0.4441
revised_overlap,4,slowdown,Money,349,True,-0.001465,-0.000509,0.02328,-0.033228,0.026507,0.4814
revised_overlap,4,slowdown,Other,349,True,-0.001839,-0.001562,0.015252,-0.021359,0.015982,0.4556
revised_overlap,4,contraction,NoDur,28,True,-0.016717,-0.014954,0.027259,-0.050332,0.018285,0.2143
revised_overlap,4,contraction,Durbl,28,True,0.066126,0.062852,0.079265,-0.005456,0.173783,0.8571
revised_overlap,4,contraction,Manuf,28,True,-0.014383,-0.017248,0.04345,-0.063427,0.041645,0.2143
revised_overlap,4,contraction,Enrgy,28,True,-0.038243,-0.036879,0.090407,-0.145941,0.069937,0.3571
revised_overlap,4,contraction,Chems,28,True,-0.00911,-0.012286,0.024138,-0.037344,0.027562,0.2143
revised_overlap,4,contraction,BusEq,28,True,0.019166,0.018455,0.021331,-0.005337,0.043983,0.8214
revised_overlap,4,contraction,Telcm,28,True,-0.017197,-0.020183,0.027472,-0.047003,0.021938,0.25
revised_overlap,4,contraction,Utils,28,True,-0.015825,-0.005565,0.045892,-0.071567,0.031833,0.4286
revised_overlap,4,contraction,Shops,28,True,0.015522,0.010929,0.025676,-0.015904,0.04971,0.6429
revised_overlap,4,contraction,Hlth,28,True,-0.001661,-0.006136,0.041587,-0.044584,0.059466,0.4286
revised_overlap,4,contraction,Money,28,True,-0.023921,-0.020194,0.035372,-0.073732,0.012901,0.1429
revised_overlap,4,contraction,Other,28,True,-0.00579,-0.003214,0.020238,-0.035698,0.016033,0.3929
revised_overlap,13,recovery,NoDur,38,True,-0.020799,-0.025143,0.037666,-0.067514,0.033059,0.2632
revised_overlap,13,recovery,Durbl,38,True,0.150082,0.177616,0.244544,-0.154881,0.534835,0.6316
revised_overlap,13,recovery,Manuf,38,True,0.042395,0.040183,0.032424,0.004432,0.085084,0.8947
