sample,horizon_weeks,phase,industry,weeks,observations,mean,effect_versus_all_weeks,p_value,bh_rank,survives_bh,survives_bonferroni
revised_overlap,26,slowdown,Utils,354,340,-0.010771,0.007242,0.5683,32.0,False,False
revised_overlap,26,slowdown,Shops,354,340,0.002103,0.000867,0.901,45.0,False,False
revised_overlap,26,slowdown,Hlth,354,340,-0.023535,-0.009934,0.2662,18.0,False,False
revised_overlap,26,slowdown,Money,354,340,-0.008148,-0.004966,0.6041,35.0,False,False
revised_overlap,26,slowdown,Other,354,340,-0.014262,-0.003173,0.57,33.0,False,False
revised_overlap,26,contraction,NoDur,28,28,-0.08809,-0.056634,0.3379,22.0,False,False
revised_overlap,26,contraction,Durbl,28,28,0.609622,0.573962,0.0017,2.0,True,False
revised_overlap,26,contraction,Manuf,28,28,-0.027719,-0.02939,0.6109,36.0,False,False
revised_overlap,26,contraction,Enrgy,28,28,-0.307179,-0.283774,0.07,8.0,False,False
revised_overlap,26,contraction,Chems,28,28,-0.011011,0.023416,0.6604,38.0,False,False
revised_overlap,26,contraction,BusEq,28,28,0.10037,0.065533,0.1058,11.0,False,False
revised_overlap,26,contraction,Telcm,28,28,-0.088898,-0.050097,0.4403,26.0,False,False
revised_overlap,26,contraction,Utils,28,28,-0.151938,-0.133925,0.0478,6.0,False,False
revised_overlap,26,contraction,Shops,28,28,0.088718,0.087482,0.0017,3.0,True,False
revised_overlap,26,contraction,Hlth,28,28,-0.051042,-0.037442,0.5307,31.0,False,False
revised_overlap,26,contraction,Money,28,28,-0.129751,-0.12657,0.0017,4.0,True,False
revised_overlap,26,contraction,Other,28,28,0.005636,0.016724,0.4317,25.0,False,False
real_time_overlap,4,recovery,NoDur,34,34,-0.012652,-0.007744,0.4215,32.0,False,False
real_time_overlap,4,recovery,Durbl,34,34,0.073115,0.0678,0.0017,1.0,True,False
real_time_overlap,4,recovery,Manuf,34,34,0.005862,0.004884,0.5768,41.0,False,False
real_time_overlap,4,recovery,Enrgy,34,34,0.002038,0.005556,0.7543,44.0,False,False
real_time_overlap,4,recovery,Chems,34,34,-0.013784,-0.008525,0.3157,30.0,False,False
real_time_overlap,4,recovery,BusEq,34,34,0.005515,0.00035,0.9403,47.0,False,False
real_time_overlap,4,recovery,Telcm,34,34,-0.011488,-0.005112,0.6365,42.0,False,False
real_time_overlap,4,recovery,Utils,34,34,-0.021585,-0.018664,0.1263,15.0,False,False
real_time_overlap,4,recovery,Shops,34,34,-0.008572,-0.008385,0.2014,22.0,False,False
real_time_overlap,4,recovery,Hlth,34,34,-0.011716,-0.009751,0.2611,26.0,False,False
real_time_overlap,4,recovery,Money,34,34,0.004226,0.004523,0.5085,39.0,False,False
real_time_overlap,4,recovery,Other,34,34,0.007061,0.008873,0.1109,14.0,False,False
real_time_overlap,4,expansion,NoDur,288,282,-0.000595,0.004313,0.0444,5.0,False,False
